"201920SHAH05468","63","4200","4200","4200"
"202021SHAH00686","63","1000","1000","1000"
"202021SHAH00836","63","5000","5000","5000"
"202021SHAH04295","63","1400","1400","1400"
"202021SHAH04362","63","33000","33000","33000"
"202021SHAH04788","63","31500","31500","31500"
"202021SHAH05424","63","200","200","200"
"202021SHAH05735","63","6000","6000","6000"
"202021SHAH05889","63","1400","1000","1000"
"202021SHAH07245","63","700","700","700"
"202021SHAH09743","63","70000","70000","70000"
"202021SHAH10449","63","12000","12000","12000"
"202021SHAH11502","63","91990","27080","27080"
"202021SHAH11765","63","24500","24500","24500"
"202021SHAH13067","63","1000","1000","1000"
"202021SHAH13315","63","86000","86000","86000"
"202021SHAH14257","63","10000","6160","6160"
"202021SHAH15501","63","15600","15600","15600"
"202021SHAH15622","63","31990","31990","31990"
"202021SHAH16353","63","15000","15000","15000"
"202021SHAH11494","63","5999","5999","5999"
"202021SHAH12339","63","1500","1500","1500"
"202021SHAH12812","63","16100","16100","16100"
"202021SHAH13171","63","23140","23140","23140"
"202021SHAH13816","63","6000","6000","6000"
"202021SHAH14232","63","70000","70000","70000"
"202021SHAH15843","63","14500","14500","14500"
"202021SHAH15942","63","92000","64960","64960"
"202021SHAH16393","63","6000","6000","6000"
"202021SHAH12650","63","5500","5500","5500"
"202021SHAH12813","63","16100","16100","16100"
"202021SHAH15775","63","56000","30000","30000"
"202021SHAH16173","63","8500","6000","6000"
"202021SHAH13332","63","6000","6000","6000"
"202021SHAH13815","63","10300","10300","10300"
"202021SHAH14361","63","35500","35500","35500"
"202021SHAH15233","63","1200","1200","1200"
"202021SHAH16171","63","22000","22000","22000"
"202021SHAH16291","63","65000","65000","65000"
"20-21/RANK/02881","49","40000","40000","40000"
"20-21/VIT1/02573","69","8500","8500","8500"
"20-21/SHAH/16435","63","21600","21600","21600"
"20-21/SHAH/16437","63","2200","2200","2200"
"20-21/RAT3/02631","52","4800","4800","4800"
"20-21/SOP4/03362","68","1800","1800","1800"
"20-21/SOP4/03363","68","1200","1200","1200"
"20-21/RAT1/03555","50","9900","9900","9900"
"20-21/RAT1/03556","50","17790","17790","17790"
"20-21/SHAH/16451","63","93000","93000","93000"
"20-21/RAT1/03559","50","11580","11580","11580"
"20-21/RAT1/03561","50","11000","11000","11000"
"20-21/vadu/00984","81","21513","21513","21513"
"20-21/RAT1/03562","50","17200","17200","17200"
"20-21/RAT2/09640","51","1200","1200","1200"
"20-21/RAT1/03563","50","300","300","300"
"20-21/RAT1/03564","50","1000","1000","1000"
"20-21/KAN1/04415","26","3700","3700","3700"
"20-21/ICH1/05820","17","6000","6000","6000"
"20-21/vadu/00988","81","1000","1000","1000"
"20-21/PANJ/02299","89","5800","5800","5800"
"20-21/RAT1/03565","50","17500","17500","17500"
"20-21/KRD3/01848","79","16371","16371","16371"
"20-21/VSCO/01002","87","49900","49900","49900"
"20-21/PAND/04668","43","9000","9000","9000"
"20-21/KRD3/01860","79","1100","1100","1100"
"20-21/KRD3/01861","79","7700","7700","7700"
"20-21/PAND/04670","43","7800","7800","7800"
"20-21/RAJ2/07324","48","600","600","600"
"20-21/INDA/02048","20","15917","15917","15917"
"202021NAS200938","92","3345","3345","3345"
"20-21/PETV/04242","44","15100","15100","15100"
"20-21/RAT1/03570","50","6426","6426","6426"
"20-21/RAT1/03571","50","13000","13000","13000"
"20-21/RAT1/03572","50","21000","21000","21000"
"20-21/RAT1/03574","50","25000","25000","25000"
"202021AKKL00548","72","12990","12990","12990"
"202021INDA01900","20","4446","4446","4446"
"202021INDA01928","20","6800","6800","6800"
"202021INDA01972","20","30000","30000","30000"
"202021INDA02012","20","3550","3550","3550"
"202021KANW00218","103","14500","14500","14500"
"202021LATU02984","32","5200","5200","5200"
"202021PAND04409","43","25500","25500","25500"
"202021PAND04552","43","3500","3500","3500"
"202021GOWE00081","83","129900","31449","31449"
"202021SOL104561","65","137000","137000","137000"
"202021OSHI00341","86","34000","34000","34000"
"202021OSHI00326","86","22282","22282","22282"
"202021OSHI00342","86","43600","43600","43600"
"202021CHI104590","11","7200","7200","7200"
"202021CHI104592","11","11000","11000","11000"
"202021CHI104634","11","11000","11000","11000"
"202021CHI104665","11","12500","12500","12500"
"202021CHI104802","11","7000","7000","7000"
"202021CHI104866","11","1200","1200","1200"
"202021CHI104867","11","10300","10300","10300"
"202021CHI104868","11","11300","11300","11300"
"202021CHI105217","11","3300","3300","3300"
"20-21/PETV/04244","44","1000","1000","1000"
"202021KANK03219","26","4800","4800","4800"
"202021SOL402934","68","10500","10500","10500"
"202021SOL403001","68","17800","17800","17800"
"202021SOL403065","68","1300","1300","1300"
"202021SOL403096","68","17200","17200","17200"
"202021SOL403332","68","94999","94999","94999"
"202021SOL403357","68","54999","54999","54999"
"202021SOL403358","68","5000","5000","5000"
"20-21/PETV/04246","44","6500","6500","6500"
"202021KHED00399","82","300","300","300"
"202021KHED00444","82","5999","6000","5999"
"202021KHED00443","82","6000","6000","6000"
